"Time","Press","Flow","OAI","CAI","HI","SI","FL","RERA","CSR","LVT","VT","MV","IE","RR","SPOP2","PR","End"
2025-2-14 18:3:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:4:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:5:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:6:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:7:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:8:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:9:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:10:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:11:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:12:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:13:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:14:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:15:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:16:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:17:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:18:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:19:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:20:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:21:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:22:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:23:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:24:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:25:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:26:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:27:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:28:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:29:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:30:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:31:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:32:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:33:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:34:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:35:13,40,79,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:36:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:37:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:38:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:39:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:40:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:41:13,40,80,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:42:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:43:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:44:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:45:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:46:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:47:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:48:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:49:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:50:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:51:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:52:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:53:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:54:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:55:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:56:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:57:13,40,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:58:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
2025-2-14 18:59:13,40,81,0,0,0,0,0,0,0,0,0,0,0,15,0,0,254,
